session_id,club_id,player_id,device_id,session_date,session_type,duration_min,distance_marche_m,distance_trot_m,distance_course_m,distance_total_m,distance_hi_m,distance_sprint_m,speed_max_kmh,sprint_count,accel_3ms2,accel_4ms2,accel_count,decel_count,hr_max,hr_avg,hmld,created_at
1,2,206,10,2026-04-09,training,116.39,4393.49,3494.64,448.47,8428.67,55.08,36.99,23.4,2,2,,16,27,,,51.54,2026-04-11 20:50:00
2,2,204,11,2026-04-09,training,108.95,4210.5,2988.78,668.82,8030.96,152.31,10.56,26.83,1,8,,32,27,,,124.15,2026-04-11 20:50:07
3,2,212,12,2026-04-09,training,110.1,4631.38,2479.98,432.78,7555.22,11.08,0.0,20.96,0,0,,14,15,,,26.54,2026-04-11 20:50:12
4,2,208,13,2026-04-09,training,113.78,4091.08,2477.2,458.52,7166.26,121.44,18.01,24.86,2,6,,20,25,,,90.72,2026-04-11 20:50:17
5,2,211,14,2026-04-09,training,115.88,3923.55,3150.73,873.83,8282.38,300.61,33.67,26.84,2,5,,36,43,,,204.3,2026-04-11 20:50:22
6,2,209,16,2026-04-09,training,120.75,4472.07,3356.18,678.38,8729.57,136.41,86.53,31.61,5,4,,31,29,,,114.7,2026-04-11 20:50:28
7,2,205,17,2026-04-09,training,111.23,4334.1,2841.27,511.0,7913.12,181.31,45.44,25.68,2,1,,12,23,,,108.65,2026-04-11 20:50:35
8,2,207,18,2026-04-09,training,111.93,4110.71,3074.59,733.92,8310.14,372.76,18.16,26.19,2,2,,19,39,,,214.88,2026-04-11 20:50:44
9,2,201,1,2026-04-09,training,109.01,4284.15,3308.16,680.5,8522.58,220.94,28.82,27.2,2,3,,35,21,,,162.97,2026-04-11 20:50:52
10,2,202,2,2026-04-09,training,103.16,4448.53,2817.57,575.31,8014.26,141.7,31.15,24.33,1,1,,29,30,,,114.35,2026-04-11 20:50:58
11,2,213,5,2026-04-09,training,116.4,4508.71,3346.31,406.87,8368.72,106.07,0.76,24.46,0,0,,18,12,,,80.03,2026-04-11 20:51:06
12,2,214,6,2026-04-09,training,115.38,4262.53,3676.24,921.37,9150.49,249.36,40.99,26.34,5,7,,38,41,,,181.68,2026-04-11 20:51:11
13,2,203,7,2026-04-09,training,121.14,2743.66,3475.43,2546.34,9083.53,251.92,66.18,22.1,1,1,,6,2,,,134.96,2026-04-11 20:51:17
14,2,210,8,2026-04-09,training,117.64,3898.31,3887.31,612.88,8603.46,180.25,24.71,27.64,2,2,,22,17,,,123.12,2026-04-11 20:51:22
15,2,215,9,2026-04-09,training,121.05,4825.48,4194.41,816.03,10008.66,134.45,38.3,26.55,4,1,,21,25,,,98.72,2026-04-11 20:51:27
